Period,median,std,max,min,range
2020-11-01,31.290988542815366,16.32773795807513,104.08768634320509,11.998459680361966,92.08922666284312
2020-12-01,32.266693351906795,15.68641994310595,104.53545743028103,13.206253489650207,91.32920394063082
2021-01-01,28.945417253338775,11.32103259879608,77.01264376801466,11.12763435445017,65.88500941356449
2021-02-01,42.13693254514256,8.608525100219468,77.91456161439197,25.782269171828375,52.132292442563596
2021-03-01,60.973886327818796,10.667751429753022,107.06798141858324,43.61114955428588,63.45683186429737
2021-04-01,49.11225482073851,7.79044217060804,80.0182903512317,34.26371030858688,45.75458004264482
2021-05-01,43.803240846227474,6.207043200816589,67.46115733586377,30.538090283594933,36.92306705226884
2021-06-01,45.837759485836685,5.368411495130783,66.18741109414331,32.79092196474407,33.39648912939924
2021-07-01,43.85895646070336,4.166129238285835,60.758548425425516,29.77001893518043,30.988529490245085
2021-08-01,36.83862178437703,4.161529206115225,51.52511660236968,21.503399338946927,30.021717263422754
2021-09-01,39.35224593952542,4.442955992164659,56.102299422023464,22.10192256689892,34.000376855124536
2021-10-01,56.915422903896065,5.913156048456466,78.03417660381585,37.37026361049339,40.66391299332246
2021-11-01,40.128469028310846,5.338339415168526,58.721594001860986,22.38128752402508,36.34030647783591
2021-12-01,38.48760161224803,4.446130299751147,53.78520170057769,20.327918660071248,33.45728304050644
2022-01-01,31.298008022125746,3.5084056885973327,44.094925229006634,18.653439210893342,25.44148601811329
2022-02-01,21.628346857414172,3.333990006770188,35.32014044039346,9.730832699181294,25.589307741212163
2022-03-01,24.353688568627273,4.229598763740811,39.890199136329855,10.648393403046446,29.241805733283403
2022-04-01,7.829695688561021,4.606596875480139,22.61823277460825,-10.183665356398194,32.801898131006446
2022-05-01,6.472611865585121,4.743533855158597,21.22905982542883,-10.693860105580356,31.922919931009186
2022-06-01,-5.734973488402237,4.399576260176148,9.294245735940137,-21.76183750225884,31.056083238198973
2022-07-01,1.0569921530144195,4.738520637078309,16.67549844748709,-15.659576618346158,32.33507506583325
2022-08-01,-5.912576201591231,5.152428318686673,12.542995614864735,-21.829008536726775,34.372004151591504
2022-09-01,-10.989252591752535,4.872147899200109,5.697057388048621,-27.28633020994297,32.983387597991594
2022-10-01,-8.694996629969417,6.191914792184678,11.745981087052161,-28.429805888175792,40.17578697522795
2022-11-01,-1.8293188412538124,6.720220678902776,19.99983672336995,-22.458781871312684,42.458618594682626
2022-12-01,-11.577075874283151,6.314150748352924,9.515112026791552,-31.244824854051583,40.75993688084314
